step,cumulative time,step time,train loss,current mem MB,peak mem MB,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,1.8981108665466309,0.06643128395080566,1.2116296291351318,28.8,1120.160768,0.5115248226950355,0.59765625,0.24934065934065935,0.4528405773452316
49,3.5761125087738037,0.06652712821960449,1.1819700002670288,28.8,1120.160768,0.5558510638297872,0.6035498903508772,0.24054945054945054,0.4666501349100383
74,5.277844429016113,0.06079268455505371,1.1600711345672607,28.8,1120.160768,0.5217198581560283,0.5947779605263158,0.2953846153846154,0.4706274780223198
99,6.9848737716674805,0.06651473045349121,1.1844885349273682,28.8,1120.160768,0.5851063829787234,0.5902549342105263,0.28098901098901097,0.4854501093927535
124,8.655170202255249,0.06476736068725586,1.1794121265411377,28.8,1120.160768,0.5979609929078014,0.590391995614035,0.3396703296703296,0.5093411060640554
149,10.380915880203247,0.06683516502380371,1.155657172203064,28.8,1120.160768,0.5611702127659575,0.5993009868421053,0.29456043956043954,0.48501054638950075
174,12.093250751495361,0.07020139694213867,1.1589219570159912,28.8,1120.160768,0.5483156028368794,0.5805235745614035,0.28472527472527476,0.4711881507078526
199,13.829416513442993,0.07498621940612793,1.093752145767212,28.8,1120.160768,0.5620567375886525,0.6010827850877193,0.34417582417582415,0.502438448950732
224,15.567848682403564,0.06943631172180176,1.1056932210922241,28.8,1120.160768,0.49423758865248224,0.4797834429824561,0.5616483516483517,0.5118897944277633
249,17.276073932647705,0.06947779655456543,1.146985650062561,28.8,1120.160768,0.5961879432624113,0.5602384868421053,0.6457142857142857,0.6007135719396007
274,19.001432418823242,0.07489800453186035,1.1647160053253174,28.8,1120.160768,0.648936170212766,0.5725740131578947,0.6404395604395604,0.620649914603407
299,20.748147010803223,0.07746052742004395,1.0837748050689697,28.8,1120.160768,0.6768617021276596,0.5805235745614036,0.7090109890109889,0.6554654219000174
324,22.474228143692017,0.0710442066192627,1.1502559185028076,28.8,1120.160768,0.6471631205673759,0.5543448464912281,0.7302197802197802,0.6439092490927947
349,24.230273485183716,0.0677330493927002,1.1346092224121094,28.8,1120.160768,0.5957446808510639,0.5461211622807017,0.7092307692307691,0.6170322041208449
374,25.984288215637207,0.07613444328308105,1.1521873474121094,28.8,1120.160768,0.5124113475177305,0.5951891447368421,0.6921978021978022,0.5999327648174583
